country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,MRVL,MRVL,2022,Q2,2021-07-31,USD,1075900000.0,704100000.0,259200000.0,638500000.0,-268200000.0,342900000.0,-33600000.0,-302000000.0,-276400000.0,821062000.0,821100000.0,559617000.0,0.0,1908477000.0,575439000.0,18930155000.0,1084433000.0,5013002000.0,1646000.0,1648882000.0,14741197000.0,-120100000.0,-12100000.0,190600000.0,222100000.0,-38300000.0,-146700000.0,37100000.0,522500000.0,-35400000.0
US,MRVL,MRVL,2022,Q3,2021-10-30,USD,1211200000.0,623400000.0,243400000.0,621200000.0,-32200000.0,350900000.0,-35200000.0,-67600000.0,-62600000.0,828600000.0,828600000.0,523502000.0,0.0,2244814000.0,597783000.0,19774028000.0,1237537000.0,5094961000.0,1682000.0,1535921000.0,15686344000.0,-166500000.0,50900000.0,39800000.0,264700000.0,-19200000.0,-281600000.0,-36100000.0,559600000.0,-79500000.0
US,MRVL,MRVL,2022,Q4,2022-01-31,USD,1342978000.0,656544000.0,251212000.0,651782000.0,37037000.0,371041000.0,-34774000.0,2074000.0,6168000.0,844419000.0,862062000.0,613500000.0,0.0,2493400000.0,604800000.0,19615200000.0,1388600000.0,5017900000.0,1700000.0,1491400000.0,15702100000.0,-155193000.0,4284000.0,15874000.0,346323000.0,-63090000.0,-193202000.0,90031000.0,523502000.0,-47267000.0
US,MRVL,MRVL,2023,Q1,2022-04-30,USD,1446900000.0,696000000.0,235700000.0,681100000.0,75500000.0,348200000.0,-35800000.0,39200000.0,-165700000.0,828500000.0,848000000.0,465000000.0,0.0,2598900000.0,642700000.0,19439800000.0,1554100000.0,5019600000.0,1700000.0,1274800000.0,15465000000.0,-299800000.0,-95900000.0,16000000.0,194800000.0,-82400000.0,-260900000.0,-148500000.0,613500000.0,-38500000.0
US,MRVL,MRVL,2023,Q2,2022-07-30,USD,1516900000.0,730900000.0,211700000.0,746900000.0,43600000.0,348700000.0,-39000000.0,3800000.0,4300000.0,850900000.0,857900000.0,617100000.0,0.0,2915000000.0,643800000.0,19247100000.0,2155800000.0,4476100000.0,1700000.0,1228000000.0,15530200000.0,-203200000.0,35800000.0,23800000.0,331500000.0,-129900000.0,-49500000.0,152100000.0,465000000.0,-75200000.0
US,MRVL,MRVL,2023,Q3,2022-10-29,USD,1537300000.0,760000000.0,207800000.0,671500000.0,110500000.0,344300000.0,-43700000.0,65300000.0,13300000.0,852600000.0,858400000.0,723400000.0,0.0,3179300000.0,722300000.0,19342800000.0,2420200000.0,4542900000.0,1700000.0,1190200000.0,15559000000.0,-12600000.0,183300000.0,44700000.0,411000000.0,-51900000.0,-252800000.0,106300000.0,617100000.0,-47600000.0
US,MRVL,MRVL,2023,Q4,2023-01-31,USD,1418500000.0,745200000.0,203400000.0,650000000.0,26100000.0,351100000.0,-46800000.0,-23200000.0,-15400000.0,854100000.0,854100000.0,911000000.0,0.0,3281100000.0,788700000.0,19241000000.0,2386700000.0,4498200000.0,1700000.0,1123500000.0,15637200000.0,-134200000.0,-156600000.0,22500000.0,351500000.0,-64200000.0,-99700000.0,187600000.0,723400000.0,-56000000.0
US,MRVL,MRVL,2024,Q1,2023-04-29,USD,1321700000.0,764500000.0,199000000.0,739600000.0,-179600000.0,348400000.0,-49900000.0,-232300000.0,-168900000.0,856700000.0,856700000.0,1028300000.0,0.0,3202900000.0,837700000.0,19070300000.0,3061400000.0,3717900000.0,1700000.0,903200000.0,15493900000.0,1900000.0,-125800000.0,22900000.0,208400000.0,-102700000.0,11600000.0,117300000.0,911000000.0,-102600000.0
US,MRVL,MRVL,2024,Q2,2023-07-29,USD,1340900000.0,819800000.0,210000000.0,726800000.0,-197800000.0,347300000.0,-52200000.0,-251600000.0,-207500000.0,860900000.0,860900000.0,423400000.0,0.0,2767200000.0,898800000.0,18982900000.0,2685200000.0,3675400000.0,1700000.0,644000000.0,15389500000.0,-122700000.0,56200000.0,30200000.0,112500000.0,-117000000.0,-600400000.0,-604900000.0,1028300000.0,-111300000.0
US,MRVL,MRVL,2024,Q3,2023-10-28,USD,1418600000.0,867400000.0,213000000.0,697500000.0,-134900000.0,341900000.0,-41200000.0,-187500000.0,-164300000.0,862600000.0,862600000.0,725600000.0,0.0,2973200000.0,911700000.0,18741200000.0,1879600000.0,4601400000.0,1700000.0,427900000.0,15233400000.0,204900000.0,140500000.0,19000000.0,503000000.0,-54600000.0,-146200000.0,302200000.0,423400000.0,-54700000.0
